name,category,subcategory,brand,description,image_url,tags,status
"Shirit LED WELLMAX fuqia 14.5 W / m, 24 V, 6500 K, 1500 lm",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310768/nearbuy/products/shirit_led_wellmax_fuqia_14_5_w___m__24_v__65_64.png,elektrik,active
"Shirit LED WELLMAX fuqia 14.5 W / m, 24 V, 4000 K, 1500 lm",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310775/nearbuy/products/shirit_led_wellmax_fuqia_14_5_w___m__24_v__40_65.png,elektrik,active
"Shirit LED WELLMAX fuqia 14.5 W / m, 12 V, 6500 K, 1500 lm",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310783/nearbuy/products/shirit_led_wellmax_fuqia_14_5_w___m__12_v__65_66.png,elektrik,active
"Shirit LED, 12V, 14.5W/5m, 240 led, 4000 K (10 cope)",Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310789/nearbuy/products/shirit_led__12v__14_5w_5m__240_led__4000_k__1_67.png,elektrik,active
"Baladez me 4 priza bosh per 50m kabell, metalik",Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310796/nearbuy/products/baladez_me_4_priza_bosh_per_50m_kabell__metal_68.png,elektrik,active
Prozhektor led 100W 6000K 9000Lm,Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310802/nearbuy/products/prozhektor_led_100w_6000k_9000lm_69.jpg,elektrik,active
"Spot rrethor jashte muri me sensor 18W,6500 K",Elektrik,Spot & Lustër,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310807/nearbuy/products/spot_rrethor_jashte_muri_me_sensor_18w_6500_k_70.png,elektrik,active
Ndricues kopshti katror E27,Elektrik,Ndriçim LED,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310815/nearbuy/products/ndricues_kopshti_katror_e27_71.png,elektrik,active
"Zgjatues 5m me 5 priza dhe celes 3.1.5mm i gomuar, I zi, me kapak me suste, IP44",Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310822/nearbuy/products/zgjatues_5m_me_5_priza_dhe_celes_3_1_5mm_i_go_72.png,elektrik,active
"Spot inkaso LED LIGHTPRO fuqia 48 W, 220 – 240 V, 4000 K, 4320 lm",Elektrik,Spot & Lustër,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310828/nearbuy/products/spot_inkaso_led_lightpro_fuqia_48_w__220___24_73.jpg,elektrik,active
